total_equity,total_net_value,total_owner_terminal_delta,total_owner_cash_delta,total_win_delta,total_cf_delta,owner_value,owner_share,equity_cap
0.01,12.184779678000844,6.818853443218472,5.365926234782371,0.02104211937871896,5.365926234782371,268.0,1.0,0.01
0.02,21.0921734603711,10.463964695699929,10.62820876467117,0.04673818260156392,10.62820876467117,268.0,1.0,0.02
0.03,28.989625628063198,13.20199223204827,15.787633396014929,0.06970898394215075,15.787633396014929,268.0,1.0,0.03
0.04,34.65400649632984,13.810592173864734,20.84341432246511,0.09238023883759434,20.84341432246511,268.0,1.0,0.04
0.05,39.40872542054282,13.199384863295336,26.209340557247483,0.08382992145207209,26.209340557247483,268.0,1.0,0.05
