w_se,w_ca,w_fd,total_equity,total_net_value,total_owner_terminal_delta,total_owner_cash_delta,total_win_delta,total_cf_delta,owner_value,owner_share
0.7,0.7,0.7,0.03,19.097068191079405,8.045724813868958,11.051343377210449,0.06970898394215075,15.787633396014929,268.0,1.0
0.7,0.7,1.0,0.03,23.833358209883887,8.045724813868958,15.787633396014929,0.06970898394215075,15.787633396014929,268.0,1.0
0.7,0.7,1.3,0.03,28.569648228688365,8.045724813868958,20.523923414819404,0.06970898394215075,15.787633396014929,268.0,1.0
0.7,1.0,0.7,0.03,20.198901437808036,9.14755806059759,11.051343377210449,0.06970898394215075,15.787633396014929,268.0,1.0
0.7,1.0,1.0,0.03,24.935191456612518,9.14755806059759,15.787633396014929,0.06970898394215075,15.787633396014929,268.0,1.0
0.7,1.0,1.3,0.03,29.671481475416996,9.14755806059759,20.523923414819404,0.06970898394215075,15.787633396014929,268.0,1.0
0.7,1.3,0.7,0.03,21.30073468453661,10.249391307326164,11.051343377210449,0.06970898394215075,15.787633396014929,268.0,1.0
0.7,1.3,1.0,0.03,26.037024703341093,10.249391307326164,15.787633396014929,0.06970898394215075,15.787633396014929,268.0,1.0
0.7,1.3,1.3,0.03,30.77331472214557,10.249391307326164,20.523923414819404,0.06970898394215075,15.787633396014929,268.0,1.0
1.0,0.7,0.7,0.03,23.151502362530085,12.100158985319638,11.051343377210449,0.06970898394215075,15.787633396014929,268.0,1.0
1.0,0.7,1.0,0.03,27.887792381334567,12.100158985319638,15.787633396014929,0.06970898394215075,15.787633396014929,268.0,1.0
1.0,0.7,1.3,0.03,32.624082400139045,12.100158985319638,20.523923414819404,0.06970898394215075,15.787633396014929,268.0,1.0
1.0,1.0,0.7,0.03,24.253335609258716,13.20199223204827,11.051343377210449,0.06970898394215075,15.787633396014929,268.0,1.0
1.0,1.0,1.0,0.03,28.989625628063198,13.20199223204827,15.787633396014929,0.06970898394215075,15.787633396014929,268.0,1.0
1.0,1.0,1.3,0.03,33.725915646867676,13.20199223204827,20.523923414819404,0.06970898394215075,15.787633396014929,268.0,1.0
1.0,1.3,0.7,0.03,25.35516885598729,14.303825478776844,11.051343377210449,0.06970898394215075,15.787633396014929,268.0,1.0
1.0,1.3,1.0,0.03,30.091458874791773,14.303825478776844,15.787633396014929,0.06970898394215075,15.787633396014929,268.0,1.0
1.0,1.3,1.3,0.03,34.82774889359625,14.303825478776844,20.523923414819404,0.06970898394215075,15.787633396014929,268.0,1.0
1.3,0.7,0.7,0.03,27.20593653398088,16.15459315677043,11.051343377210449,0.06970898394215075,15.787633396014929,268.0,1.0
1.3,0.7,1.0,0.03,31.94222655278536,16.15459315677043,15.787633396014929,0.06970898394215075,15.787633396014929,268.0,1.0
1.3,0.7,1.3,0.03,36.67851657158984,16.15459315677043,20.523923414819404,0.06970898394215075,15.787633396014929,268.0,1.0
1.3,1.0,0.7,0.03,28.307769780709396,17.25642640349895,11.051343377210449,0.06970898394215075,15.787633396014929,268.0,1.0
1.3,1.0,1.0,0.03,33.044059799513875,17.25642640349895,15.787633396014929,0.06970898394215075,15.787633396014929,268.0,1.0
1.3,1.0,1.3,0.03,37.780349818318356,17.25642640349895,20.523923414819404,0.06970898394215075,15.787633396014929,268.0,1.0
1.3,1.3,0.7,0.03,29.409603027438028,18.35825965022758,11.051343377210449,0.06970898394215075,15.787633396014929,268.0,1.0
1.3,1.3,1.0,0.03,34.145893046242506,18.35825965022758,15.787633396014929,0.06970898394215075,15.787633396014929,268.0,1.0
1.3,1.3,1.3,0.03,38.88218306504699,18.35825965022758,20.523923414819404,0.06970898394215075,15.787633396014929,268.0,1.0
