Player,Team,WS/40,TS%,USG%,AST%,TRB%,DWS_40
Elizabeth Kitley,LVA,-0.091,0.314,14.4,1.5,10.1,0.0816326530612245
Anastasiia Kosu,MIN,0.068,0.492,24.5,9.8,11.1,0.05
Leïla Lacan,CON,0.07,0.548,19.4,26.0,5.3,0.030075187969924814
Kitija Laksa,PHO,0.04,0.505,15.3,5.3,3.7,0.03194888178913738
Carla Leite,GSV,0.051,0.505,23.6,22.4,4.4,0.05023547880690738
Kyara Linskens,GSV,0.017,0.4,12.1,6.3,13.0,0.14814814814814814
Jewell Loyd,LVA,0.091,0.536,18.7,10.7,6.7,0.038554216867469876
Marina Mabrey,CON,-0.041,0.477,25.8,24.3,7.9,-0.003626473254759746
Natasha Mack,PHO,0.207,0.569,11.2,7.7,18.1,0.10914927768860354
Ezi Magbegor,SEA,0.151,0.547,13.9,11.6,13.6,0.0798004987531172
Dominique Malonga,SEA,0.126,0.566,25.5,11.3,19.5,0.08666666666666667
Rayah Marshall,CON,-0.073,0.4,19.3,7.6,17.2,0.044444444444444446
Kate Martin,GSV,0.032,0.459,21.6,10.9,9.5,0.058224163027656484
Kayla McBride,MIN,0.152,0.584,20.4,17.1,4.3,0.05573770491803278
Megan McConnell,PHO,0.162,0.375,13.8,34.6,4.4,0.0
Teaira McCowan,DAL,0.127,0.596,19.0,7.8,20.4,0.03652968036529681
Aari McDonald,IND,0.104,0.555,19.0,27.3,5.4,0.04571428571428571
Emma Meesseman,NYL,0.192,0.65,22.2,23.0,11.5,0.07272727272727272
Jade Melbourne,WAS,0.007,0.496,15.1,20.2,4.9,0.027777777777777776
Kelsey Mitchell,IND,0.161,0.574,27.7,19.6,3.4,0.028964518464880518
Aneesah Morrow,CON,0.034,0.461,22.6,5.0,21.7,0.04645161290322581
Murjanatu Musa,PHO,0.109,0.502,17.3,9.4,14.5,0.06557377049180328
Olivia Nelson-Ododa,CON,0.104,0.578,17.3,7.8,13.7,0.03
Kia Nurse,CHI,-0.025,0.496,17.4,9.6,6.3,-0.016632016632016633
Aaliyah Nye,LVA,0.002,0.473,14.0,5.5,5.7,0.02384500745156483
Arike Ogunbowale,DAL,0.032,0.494,23.2,20.7,4.3,0.0
Nneka Ogwumike,SEA,0.168,0.6,25.4,13.5,13.7,0.0706401766004415
Amy Okonkwo,DAL,0.167,0.63,21.3,6.8,9.1,0.025477707006369428
Lucy Olsen,WAS,0.046,0.496,17.0,17.0,5.8,0.03149606299212599
Michaela Onyenwere,CHI,-0.026,0.525,18.3,11.7,5.7,-0.011251758087201125
Te-Hina PaoPao,ATL,0.115,0.559,17.1,23.7,5.7,0.061111111111111116
Cheyenne Parker-Tyus,LVA,0.364,0.752,37.9,0.0,8.3,0.0
Robyn Parks,CON,-0.046,0.2,4.3,4.7,8.5,0.0
Haley Peters,CON,-0.054,0.388,13.1,10.6,11.6,0.010526315789473684
Kelsey Plum,LAS,0.11,0.578,25.4,27.9,5.2,0.0
Alexis Prince,PHO,-0.139,0.333,12.3,6.5,20.8,0.0
JJ Quinerly,DAL,0.027,0.529,20.9,24.0,6.7,0.014842300556586273
Angel Reese,CHI,0.079,0.537,25.0,21.5,23.4,0.05068637803590285
Saniya Rivers,CON,0.026,0.495,18.1,18.4,6.4,0.021877848678213307
Iliana Rupert,GSV,0.159,0.609,17.3,13.0,9.7,0.06584362139917696
Mercedes Russell,LAS,0.046,0.513,11.0,10.7,8.8,0.0
Nyara Sabally,NYL,0.109,0.529,15.6,6.9,14.6,0.07868852459016393
Satou Sabally,PHO,0.147,0.533,29.2,17.4,12.7,0.0769971126082772
