Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
Kahleah Copper,PHO,G-F,28,752,14.4,.548,.503,.418,.244,1.6,6.2,10.6,2.0,0.6,13.4,27.6,98,105,0.2,1.0,1.2,.064
Sophie Cunningham,IND,G,30,756,12.8,.655,.614,.674,.274,2.4,8.4,7.1,2.0,0.4,14.8,13.6,118,105,1.5,1.0,2.5,.130
Damiris Dantas,IND,C-F,38,439,8.4,.453,.417,.525,.155,7.6,12.6,8.9,0.7,0.6,13.0,22.7,92,107,-0.3,0.4,0.1,.010
Kariata Diaby,CON,C,13,103,5.8,.620,.500,.000,1.000,3.3,7.5,7.8,3.0,0.9,37.3,14.2,85,110,-0.1,0.1,-0.1,-0.031
Skylar Diggins,SEA,G,43,1343,18.8,.536,.481,.315,.351,2.3,4.8,31.8,2.0,2.3,12.8,24.3,108,105,2.9,1.8,4.6,.138
Stefanie Dolson,WAS,C,43,653,8.5,.534,.518,.528,.141,3.0,9.1,14.9,1.0,2.1,16.1,12.7,102,107,0.3,0.6,1.0,.059
Emily Engstler,WAS,F,40,512,14.7,.487,.455,.470,.269,8.9,15.6,19.1,2.8,5.1,20.2,16.9,96,99,0.0,1.1,1.1,.082
Dana Evans,LVA,G,44,777,10.8,.488,.456,.367,.193,1.2,3.5,20.5,1.1,0.6,11.0,19.7,101,110,0.4,0.4,0.8,.043
Temi Fagbenle,GSV,C,39,925,12.9,.544,.526,.249,.145,9.0,12.0,12.5,2.0,2.6,18.0,16.3,103,101,0.7,1.7,2.4,.103
Sania Feagin,LAS,F,16,77,0.2,.346,.357,.143,.071,4.8,8.5,8.2,0.0,7.2,19.5,20.8,66,112,-0.4,0.0,-0.3,-0.179
Leonie Fiebich,NYL,F,37,1041,12.1,.646,.604,.543,.281,2.7,7.3,9.7,1.7,1.2,15.3,13.0,115,106,1.8,1.3,3.0,.117
Rebekah Gardner,NYL,G,41,502,12.5,.624,.591,.382,.245,6.6,8.5,7.9,2.6,1.3,15.9,13.4,114,104,0.8,0.7,1.6,.125
Luisa Geiselsoder,DAL,C,28,628,12.0,.522,.511,.525,.061,4.2,12.2,11.1,1.8,2.9,13.2,14.7,102,110,0.4,0.4,0.8,.048
Allisha Gray,ATL,G,42,1451,19.7,.598,.540,.467,.419,3.0,9.1,17.5,1.6,0.9,10.3,22.8,119,102,5.2,2.5,7.7,.212
Chelsea Gray,LVA,G,44,1368,15.4,.572,.521,.444,.270,2.1,7.4,28.3,2.3,1.8,22.5,18.5,106,105,1.7,1.8,3.5,.104
Brittney Griner,ATL,C,39,810,16.1,.564,.527,.063,.282,5.4,14.8,7.3,0.3,5.0,14.8,22.6,102,100,0.7,1.7,2.4,.117
Megan Gustafson,LVA,C,20,226,5.6,.472,.465,.684,.263,4.1,9.3,3.4,0.7,2.3,8.6,14.1,96,107,0.0,0.2,0.2,.032
Dearica Hamby,LAS,F,44,1374,23.8,.605,.586,.095,.417,10.0,15.2,20.0,2.5,1.4,14.9,25.6,114,108,4.4,1.2,5.6,.162
Isabelle Harrison,NYL,F,34,360,17.2,.546,.500,.112,.321,9.9,14.3,11.9,2.9,0.5,13.1,22.6,106,101,0.5,0.7,1.2,.135
Tyasha Harris,DAL,G,5,82,13.7,.609,.583,.611,.111,1.3,3.5,24.2,1.2,2.3,13.7,11.6,125,115,0.2,0.0,0.2,.095
Bria Hartley,CON,G,38,867,10.5,.505,.454,.502,.314,1.5,5.2,23.8,1.7,0.0,17.1,21.1,97,115,0.0,-0.1,-0.2,-0.007
Tiffany Hayes,GSV,G,26,700,14.1,.557,.504,.426,.338,3.1,8.4,21.2,1.1,0.6,15.3,21.4,107,105,1.1,0.9,1.9,.111
Lexi Held,PHO,G,32,471,9.8,.489,.463,.555,.134,2.6,4.1,12.2,2.5,1.0,13.9,19.3,94,105,-0.2,0.6,0.4,.034
Natisha Hiedeman,MIN,G,44,833,17.9,.593,.567,.404,.218,1.6,5.9,23.8,2.0,1.0,13.8,21.5,114,103,2.2,1.3,3.5,.169
Naz Hillmon,ATL,F,44,1122,15.8,.583,.552,.550,.197,7.4,14.3,15.0,1.0,1.4,13.3,15.4,118,102,2.7,2.0,4.8,.170
