Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,DWS_40,OWS_40,archetype_soft,resp_1,resp_2,resp_3,resp_4,resp_5,outlier_flag,latent_y_star,latent_y_pred,skill_score,skill_ci_low,skill_ci_high,Pos5,latent_y_pred_pos,skill_score_pos5,skill_score_global_from_pos_model
Allisha Gray,ATL,G,42,1451.0,19.7,0.598,0.54,0.467,0.419,3.0,9.1,17.5,1.6,0.9,10.3,22.8,119,102.0,5.2,2.5,7.7,0.212,0.0689179875947622,0.1433494141971054,1,0.8250113561245815,0.0636537200565844,4.020299396647812e-38,0.1113341910956629,7.32723171279668e-07,0,1.428713472602283,0.9224946606019796,85.30749664235225,78.48651311832464,88.76942655605372,SG,1.1879599732535013,100.0,86.9918699186992
Chelsea Gray,LVA,G,44,1368.0,15.4,0.572,0.521,0.444,0.27,2.1,7.4,28.3,2.3,1.8,22.5,18.5,106,105.0,1.7,1.8,3.5,0.104,0.0526315789473684,0.0497076023391812,2,1.2627060569652225e-22,0.9999428691307244,6.776987623435588e-87,5.713086825273931e-05,1.0226835634898822e-12,0,0.1447945816396368,0.4765727688784384,68.98553838753287,64.40792456745326,73.8378347708803,PG,0.4787032905442916,73.33333333333333,65.85365853658537
Brittney Griner,ATL,C,39,810.0,16.1,0.564,0.527,0.063,0.282,5.4,14.8,7.3,0.3,5.0,14.8,22.6,102,100.0,0.7,1.7,2.4,0.117,0.0839506172839506,0.0345679012345679,4,5.4651286684049376e-11,4.972660951311139e-14,1.2716143245854482e-34,0.999999999298436,6.46863127991791e-10,0,0.3938219797854375,0.8587757687018872,82.97521129610728,76.8337414799323,87.34326171420894,C,0.6372258349804667,62.5,74.79674796747969
Megan Gustafson,LVA,C,20,226.0,5.6,0.472,0.465,0.684,0.263,4.1,9.3,3.4,0.7,2.3,8.6,14.1,96,107.0,0.0,0.2,0.2,0.032,0.0353982300884955,0.0,5,2.7087746459822505e-22,4.256744065841549e-09,1.6845521568641617e-06,0.0030028802913375,0.9969954308997616,0,-1.0601674843364144,-1.1472575335340534,9.548917533494976,3.1887464917432204,14.385746982104852,C,-1.3883608642923109,0.0,6.504065040650407
Dearica Hamby,LAS,F,44,1374.0,23.8,0.605,0.586,0.095,0.417,10.0,15.2,20.0,2.5,1.4,14.9,25.6,114,108.0,4.4,1.2,5.6,0.162,0.0349344978165938,0.1280931586608442,4,3.589841171166512e-19,1.499017720823058e-11,4.7919600017172805e-28,0.9999999999850102,1.0527850148807279e-21,0,1.102260696220744,0.7495252833561038,78.97634536413783,73.95948523891215,86.62180368757105,PF,0.8679253455991977,57.89473684210527,82.11382113821139
Isabelle Harrison,NYL,F,34,360.0,17.2,0.546,0.5,0.112,0.321,9.9,14.3,11.9,2.9,0.5,13.1,22.6,106,101.0,0.5,0.7,1.2,0.135,0.0777777777777777,0.0555555555555555,4,0.0001207320268666,1.5625050151990489e-12,8.098070888732143e-32,0.9998792679620732,9.497830660270776e-12,0,0.588895088667023,0.6981446729584745,77.09567479473422,70.47913380275065,82.21810448240669,PF,0.7317336151309574,47.368421052631575,77.23577235772359
Bria Hartley,CON,G,38,867.0,10.5,0.505,0.454,0.502,0.314,1.5,5.2,23.8,1.7,0.0,17.1,21.1,97,115.0,0.0,-0.1,-0.2,-0.007,-0.0046136101499423,0.0,5,3.210925912906952e-15,0.4119630477642351,1.5674895306281496e-69,3.376328743729812e-06,0.5880335759070179,0,-1.2650994862080402,-1.0505144223857283,13.089979434495502,9.931227299763126,18.28140050941148,PG,-1.1074452520302032,13.333333333333334,10.569105691056912
Tiffany Hayes,GSV,G,26,700.0,14.1,0.557,0.504,0.426,0.338,3.1,8.4,21.2,1.1,0.6,15.3,21.4,107,105.0,1.1,0.9,1.9,0.111,0.0514285714285714,0.0628571428571428,2,0.0066663636063202,0.972901236354654,1.4383789551949275e-53,0.0203955284117523,3.6871627273613504e-05,0,0.1640730623846555,0.3089560739220428,62.85030988974647,59.12382872445478,67.44323749252484,PG,0.2814847841242283,66.66666666666666,56.09756097560976
Lexi Held,PHO,G,32,471.0,9.8,0.489,0.463,0.555,0.134,2.6,4.1,12.2,2.5,1.0,13.9,19.3,94,105.0,-0.2,0.6,0.4,0.034,0.0509554140127388,-0.0169851380042462,2,7.82437964187731e-13,0.9999814904676066,2.1082138380579157e-43,1.5455018826821243e-05,3.054512784112609e-06,0,-0.8002041434755175,-0.7915401634656279,22.569144107996816,17.135115393058804,28.54058773513356,SG,-0.7319387895488889,44.44444444444444,26.82926829268293
Natisha Hiedeman,MIN,G,44,833.0,17.9,0.593,0.567,0.404,0.218,1.6,5.9,23.8,2.0,1.0,13.8,21.5,114,103.0,2.2,1.3,3.5,0.169,0.0624249699879951,0.1056422569027611,2,5.717078399701163e-05,0.9952170622934968,2.771575507960068e-80,0.0047233179557515,2.448966754381297e-06,0,0.9106171138092072,0.8707526813669696,83.41359898724644,77.94402743825043,86.97990685191424,PG,0.9806009415903061,96.66666666666667,84.5528455284553
Naz Hillmon,ATL,F,44,1122.0,15.8,0.583,0.552,0.55,0.197,7.4,14.3,15.0,1.0,1.4,13.3,15.4,118,102.0,2.7,2.0,4.8,0.17,0.071301247771836,0.0962566844919786,4,0.0031207456038465,3.4582616121141202e-12,1.2456759854462346e-08,0.9968792419359354,1.153760079331726e-28,0,0.8221388237594074,0.7658635618868329,79.57437094907482,73.57153086003292,85.17719268721635,PF,0.7443678797173355,52.63157894736842,78.86178861788619
Myisha Hines-Allen,DAL,F,40,882.0,13.8,0.529,0.482,0.241,0.333,7.2,15.6,21.0,1.8,1.9,23.4,18.4,98,109.0,0.1,0.6,0.8,0.034,0.0272108843537414,0.0045351473922902,4,2.5393721961382673e-22,3.10783501110404e-19,4.59956211472098e-10,0.9999999995400436,2.5762703187178265e-33,0,-0.6564501615061288,-0.0731255393586644,48.86508005992665,43.97546330561426,57.72242962387201,PF,-0.5163489461770854,5.263157894736842,34.959349593495936
Natasha Howard,IND,F,44,1060.0,19.3,0.595,0.561,0.091,0.365,9.7,16.6,10.5,2.5,2.1,16.8,21.4,109,100.0,2.1,2.1,4.2,0.157,0.0792452830188679,0.0792452830188679,4,0.0001378535532053,2.6692560699883373e-18,1.4171348202589473e-33,0.9998621464467948,2.36624323818778e-24,0,0.9250643279326844,1.0838834920027174,91.21476833680867,85.74085839873216,95.9023658966784,PF,1.253671802972118,68.42105263157893,91.0569105691057
