site,opp,iter,player,action_dim,js_divergence,baseline_mean,current_mean
Portland,PHO,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Toronto,LAS,1,IND,a_debt,0.6931471805330074,2.0,1.0
Toronto,LAS,1,IND,a_salary,0.6931471805330074,2.0,5.0
Toronto,LAS,1,IND,a_roster,0.0,3.0,3.0
Toronto,LAS,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Toronto,LAS,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Toronto,LAS,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Toronto,NYL,1,IND,a_debt,0.6931471805330074,2.0,1.0
Toronto,NYL,1,IND,a_salary,0.6931471805330074,2.0,5.0
Toronto,NYL,1,IND,a_roster,0.0,3.0,3.0
Toronto,NYL,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Toronto,NYL,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Toronto,NYL,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Toronto,PHO,1,IND,a_debt,0.6931471805330074,2.0,1.0
Toronto,PHO,1,IND,a_salary,0.6931471805330074,2.0,5.0
Toronto,PHO,1,IND,a_roster,0.0,3.0,3.0
Toronto,PHO,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Toronto,PHO,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Toronto,PHO,1,OPP,a_roster,0.6931471805330074,3.0,1.0
