site,policy,seasons,n,win_pct_mean,win_pct_std,cash_flow_mean,cash_flow_std,cash_flow_cum_mean,cash_flow_cum_std,terminal_value_mean,terminal_value_std,leverage_mean,leverage_std,franchise_value_mean,franchise_value_std,debt_mean,debt_std
Denver,aggressive,1,6,0.2483305721251292,0.00855816639385978,8.366119160827017,3.834887409370744,51.52550625300554,7.573660194386225,180.48348768936148,8.851225423113776,0.498908078867877,0.011536374384216338,359.960580725362,9.582967746150445,179.47709303600053,0.8170905353654375
Denver,aggressive,2,6,0.14066272659935378,0.01393821794491639,2.614603591949425,3.1007598956909006,64.00878078367248,13.016340800826233,244.04119045856547,16.97727672596066,0.42444068839960186,0.016230957691299994,423.518283494566,17.386846293094088,179.47709303600053,0.8170905353654375
Denver,aggressive,3,6,0.10190250085748,0.012153781574847216,5.791487189258056,3.841526247348694,83.86022799061628,10.832199589396705,295.7102704796979,18.318061214467473,0.37826610105350206,0.014564906867258035,475.18736351569845,18.715453006723607,179.47709303600053,0.8170905353654375
Denver,baseline,1,6,0.3214322158687788,0.013271433461947906,16.97494995741588,3.040785696103669,72.36650238053949,6.308835651180228,291.53630227672915,9.263176743330545,0.1869981923821452,0.004928051809275419,358.53630227672915,9.263176743330545,67.0,0.0
Denver,baseline,2,6,0.2386945900407045,0.020736700158229805,13.95428768916571,2.1115512369383396,130.72883453949333,9.753595513459741,364.4239113073116,17.144877758854967,0.15554087040470793,0.00607091316902155,431.4239113073116,17.144877758854967,67.0,0.0
Denver,baseline,3,6,0.20047699129291982,0.017271499825811082,16.373132714519762,2.870412071165036,193.44975768409435,8.218326184609085,431.4472401496452,20.96820689362933,0.13466613553974252,0.005917170715984656,498.4472401496452,20.96820689362933,67.0,0.0
Denver,defensive,1,6,0.31453811357996064,0.013092699027091464,18.562140685687552,2.4714824020796335,73.3012222670315,5.385231728498207,357.133183928576,9.793566009456095,0.02869099138767762,0.0017964379895109117,367.66550677961555,9.438371746162817,10.532322851039652,0.39305989717046985
Denver,defensive,2,6,0.2290874298602936,0.020611508345322795,17.603980737136066,1.365871737582848,145.39967124604013,7.697776753077489,452.2098764240668,17.88807312480552,0.0,0.0,452.2098764240668,17.88807312480552,0.0,0.0
Denver,defensive,3,6,0.19047216923344146,0.017307364233571976,19.239235634669303,2.1037715407015627,220.41418808452727,6.69103991260242,533.7409340598866,22.315605992250987,0.0,0.0,533.7409340598866,22.315605992250987,0.0,0.0
Denver,ppo,1,6,0.3145619592227352,0.017111469260611575,18.665095899780127,2.6204761329119663,74.17076514248544,6.0579534310506,356.72013628518584,9.410048726731642,0.02875515688537515,0.0017334992084277188,367.26572822618186,9.067422204205458,10.545591940996053,0.37763635374607113
Denver,ppo,2,6,0.22963161379325311,0.026464159332024954,17.581544564384767,1.5526281837743103,145.75365095504745,8.018297179927911,450.8226168850679,18.137965932792813,0.0,0.0,450.8226168850679,18.137965932792813,0.0,0.0
Denver,ppo,3,6,0.18495394129966936,0.026266240909064653,19.312171340495247,2.000033040257178,221.44763905115784,6.168023308862858,531.5726707711774,17.9696752360772,0.0,0.0,531.5726707711774,17.9696752360772,0.0,0.0
Nashville,aggressive,1,6,0.2483305721251292,0.00855816639385978,8.366119160827017,3.834887409370744,51.52550625300554,7.573660194386225,180.48348768936148,8.851225423113776,0.498908078867877,0.011536374384216338,359.960580725362,9.582967746150445,179.47709303600053,0.8170905353654375
Nashville,aggressive,2,6,0.14066272659935378,0.01393821794491639,2.3312991638947946,3.0824990909929446,62.914623597306495,12.970787853552311,235.94062413226393,16.689031971290028,0.4327206982354255,0.016591250810410376,415.41771716826446,17.09697049498547,179.47709303600053,0.8170905353654375
Nashville,aggressive,3,6,0.10190250085748,0.012153781574847216,5.469169121403158,3.8157276370015563,81.76919833582049,10.794732466344472,286.6202955899695,17.978499521139987,0.3856445031218323,0.014869013977803207,466.09738862596987,18.374889025695122,179.47709303600053,0.8170905353654375
Nashville,baseline,1,6,0.3214322158687788,0.013271433461947906,16.97494995741588,3.040785696103669,72.36650238053949,6.308835651180228,291.53630227672915,9.263176743330545,0.1869981923821452,0.004928051809275419,358.53630227672915,9.263176743330545,67.0,0.0
Nashville,baseline,2,6,0.2386945900407045,0.020736700158229805,13.692338076922235,2.0923990349130395,129.6428968932611,9.705033212712474,356.21829492315925,16.860723041259806,0.15855778041654547,0.0062030640153144445,423.21829492315925,16.860723041259806,67.0,0.0
Nashville,baseline,3,6,0.20047699129291982,0.017271499825811082,16.089242293937364,2.8403517565094867,191.53875484425635,8.169790401683523,421.96586165718,20.587341717208094,0.13727792884011292,0.0060391156293152495,488.96586165718,20.587341717208094,67.0,0.0
Nashville,defensive,1,6,0.31453811357996064,0.013092699027091464,18.562140685687552,2.4714824020796335,73.3012222670315,5.385231728498207,357.133183928576,9.793566009456095,0.02869099138767762,0.0017964379895109117,367.66550677961555,9.438371746162817,10.532322851039652,0.39305989717046985
Nashville,defensive,2,6,0.2290874298602936,0.020611508345322795,17.35457226243443,1.347670524130945,144.3644474878453,7.654909493892119,443.6558310913633,17.593283588635522,0.0,0.0,443.6558310913633,17.593283588635522,0.0,0.0
