iter,episode,step,team,year,phase,mu_size,compete_local,n_star_fa,bidding_intensity,travel_fatigue,leverage,cash_flow,cash,franchise_value,debt,owner_share,win_pct,elo,syn,a_roster,a_salary,a_ticket,a_marketing,a_debt,a_equity
0,0,5,ATL,2026,offseason,0.511,0,1,8.162273429684788,0.20349515139083937,0.1912925304796663,5.048198776647373,19.526155401960427,175.1244542376992,33.5,1.0,0.3555063976237862,1499.142059609847,-1.614080262890517,3,2,2,1,2,0
0,0,5,CHI,2026,offseason,1.1155952028104734,0,1,8.162273429684788,0.12863555965795245,0.19359714792998708,32.24841372900683,127.08913277950636,385.88685863624437,74.70659525563902,1.0,0.325528115834523,1496.8630824729803,-1.5324158749001797,3,2,2,1,2,0
0,0,5,CON,2026,offseason,0.9723654609640489,0,1,8.162273429684788,0.2702222544694805,0.20323656722997907,22.585325102200553,89.3911769410628,316.92862540678675,64.41148588459127,1.0,0.24346973076650766,1448.5164406224249,-2.5429485400354546,3,2,2,1,2,0
0,0,5,DAL,2026,offseason,0.7255575119048928,0,1,8.162273429684788,0.4258798457720885,0.2025628726343827,11.675405807918379,47.197423997919884,236.34811589604962,47.87535329762782,1.0,0.21775300510754342,1449.2504556696858,-2.20949308722745,3,2,2,1,2,0
0,0,5,GSV,2026,offseason,1.011,0,1,8.162273429684788,0.87,0.19337456120024235,26.1414073313566,102.30500534577052,346.47783857474644,67.0,1.0,0.33686996120113416,1491.439305962932,-1.7720243731361967,3,2,2,1,2,0
0,0,5,IND,2026,offseason,0.6152127726530032,1,1,8.162273429684788,0.07843879224293068,0.1906678145921244,9.184288001105084,36.89525097773911,220.0377559154149,41.95411804814745,1.0,0.31795925035630923,1471.6487720732193,-1.9372080164936025,3,2,2,1,2,0
0,0,5,LAS,2026,offseason,1.0200950081932056,0,1,8.162273429684788,0.87,0.1871499972039593,27.399473828619346,107.88762153539923,361.2576359018746,67.60936554894478,1.0,0.379423470275753,1533.366465964457,-1.9072574912973672,3,2,2,1,2,0
0,0,5,LVA,2026,offseason,1.481531953502183,0,1,8.162273429684788,0.8205830517815734,0.2054522394278106,51.145564286417766,203.59122515981147,479.5549620634096,98.52564088464626,1.0,0.2198827453378993,1422.3926682460508,-2.737209925553975,3,2,2,1,2,0
0,0,5,MIN,2026,offseason,1.2083957703262984,0,1,8.162273429684788,0.2925627042394582,0.19864572588803267,35.73583321688629,141.98905262041944,403.86228424104826,80.225516611862,1.0,0.2721382809327011,1445.657305569315,-2.0815604826944196,3,2,2,1,2,0
0,0,5,NYL,2026,offseason,1.2083957703262984,0,1,8.162273429684788,0.2222675653088865,0.1866227032900679,38.90308638859544,152.08614112402407,429.88079798183713,80.225516611862,1.0,0.39556966537792715,1530.9522475069061,-1.5152313949303449,3,2,2,1,2,0
0,0,5,PHO,2026,offseason,1.4270278898921136,0,1,8.162273429684788,0.7766000828274576,0.18939494722124656,53.63710681210133,207.4926145452126,500.9313607080673,94.87386862277162,1.0,0.38872963062069243,1510.9072799490584,-1.88751630948869,3,2,2,1,2,0
0,0,5,SEA,2026,offseason,1.3857649264811005,0,1,8.162273429684788,0.87,0.19376358754281484,49.02980778126774,191.1169663767554,475.36924373822757,92.10925007423374,1.0,0.3404613643252211,1482.4251883611362,-1.8876430815157128,3,2,2,1,2,0
0,0,5,WAS,2026,offseason,0.6820758860516712,0,1,8.162273429684788,0.1522932585439958,0.19928045818804638,10.847929879726799,42.261370006159396,227.29984914876397,45.29641808443951,1.0,0.29111686781292406,1451.3542425683745,-1.840953420628315,3,2,2,1,2,0
1,0,5,ATL,2026,offseason,0.511,0,1,6.067416039421818,0.20349515139083937,0.0,7.48157730110926,-6.702627226453393,180.134551481458,0.0,0.985074875,0.3809986720418831,1498.7201342444102,-1.9917760197061478,0,1,3,1,0,1
1,0,5,CHI,2026,offseason,1.1155952028104734,0,1,6.067416039421818,0.12863555965795245,0.0,38.65160878470689,52.67177836798146,400.8966824609344,0.0,0.985074875,0.35067597374096526,1497.4289758696034,-1.99032711113848,0,1,3,1,0,1
1,0,5,CON,2026,offseason,0.9723654609640489,0,1,6.067416039421818,0.2702222544694805,0.0,27.59441682017583,27.04440918246756,328.73879300244323,0.0,0.985074875,0.2536486877002226,1449.1465368860554,-2.5129077063957443,0,1,3,1,0,1
1,0,5,DAL,2026,offseason,0.7255575119048928,0,1,6.067416039421818,0.4258798457720885,0.0,15.758142101002546,5.156323596411211,247.4762901302039,0.0,0.985074875,0.28680916198390594,1454.4900219679475,-2.0271006667370344,0,1,3,1,0,1
1,0,5,GSV,2026,offseason,1.011,0,1,6.067416039421818,0.87,0.0,31.184612199278142,35.90043652613272,357.1129039798479,0.0,0.985074875,0.3323997359246259,1493.4946880727541,-2.001729153042586,0,1,3,1,0,1
1,0,5,IND,2026,offseason,0.6152127726530032,1,1,6.067416039421818,0.07843879224293068,0.0,11.938652985007097,-0.19560143561563237,221.7106356414071,0.0,0.985074875,0.2872537320424816,1468.0471926316432,-2.201637421560699,0,1,3,1,0,1
1,0,5,LAS,2026,offseason,1.0200950081932056,0,1,6.067416039421818,0.87,0.0,31.282908293685487,37.623368114202286,363.07407039142373,0.0,0.985074875,0.30927854266324595,1526.732486013286,-2.1574575122631945,0,1,3,1,0,1
1,0,5,LVA,2026,offseason,1.481531953502183,0,1,6.067416039421818,0.8205830517815734,0.0,59.9946118981619,99.61515438260494,492.56801328197673,0.0,0.985074875,0.24166592458222624,1423.7876802913713,-2.0294262039832587,0,1,3,1,0,1
