site,two_phase,off_action,reg_action,win_mean,cf_mean,debt_mean,base_win,base_cf,base_debt,improved_all
Columbus,1,"(4, 1, 2, 1, 0, 1)","(3, 1, 2, 1, 0, 1)",0.3114931832835618,10.430973941170105,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(2, 1, 2, 1, 1, 0)","(3, 1, 2, 3, 1, 0)",0.306056356262714,10.51958410765345,8.082505819754012,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(4, 5, 2, 1, 0, 0)","(3, 5, 4, 2, 0, 0)",0.3054789660684726,10.435507575904339,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(4, 2, 2, 1, 0, 0)","(3, 2, 3, 1, 0, 0)",0.30404263227645323,10.684574079950547,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(2, 4, 2, 1, 0, 0)","(3, 4, 3, 3, 0, 0)",0.3051800156897021,9.931694987223718,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(2, 3, 2, 1, 0, 0)","(3, 3, 4, 2, 0, 0)",0.3053484741738689,10.169831342929232,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(4, 1, 2, 1, 0, 1)","(3, 1, 3, 1, 0, 1)",0.3044927539303238,10.602664058096304,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(2, 4, 2, 1, 1, 1)","(3, 4, 3, 1, 1, 1)",0.3044318013691659,10.188163612604367,8.119364416589345,0.30314845857339046,9.44219827855272,41.954118048147436,1
