site,two_phase,off_action,reg_action,win_mean,cf_mean,debt_mean,base_win,base_cf,base_debt,improved_all
Columbus,1,"(3, 5, 2, 1, 0, 0)","(3, 5, 4, 1, 0, 0)",0.3029940275817052,9.498476526632212,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(3, 2, 2, 1, 2, 0)","(3, 2, 4, 3, 2, 0)",0.32087762897956684,8.947842197890841,41.954118048147436,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(4, 1, 2, 1, 0, 1)","(3, 1, 2, 1, 0, 1)",0.3114931832835618,10.430973941170105,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(6, 1, 2, 1, 2, 1)","(3, 1, 4, 3, 2, 1)",0.28348342560938644,7.146334270935327,41.954118048147436,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(4, 4, 2, 1, 0, 0)","(3, 4, 4, 2, 0, 0)",0.302372508430205,10.043703779337129,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(2, 1, 2, 1, 1, 0)","(3, 1, 2, 3, 1, 0)",0.306056356262714,10.51958410765345,8.082505819754012,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(4, 2, 2, 1, 1, 1)","(3, 2, 2, 2, 1, 1)",0.29964284800749186,10.476497107373296,8.072095843801808,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(3, 5, 2, 1, 2, 0)","(3, 5, 3, 1, 2, 0)",0.2952843320769863,6.798340885456258,41.954118048147436,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(2, 5, 2, 1, 1, 1)","(3, 5, 4, 2, 1, 1)",0.2992405038173577,9.554647117055172,8.11099203379209,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(5, 5, 2, 1, 2, 0)","(3, 5, 3, 2, 2, 0)",0.2524299899106225,6.322622136950895,41.954118048147436,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(5, 4, 2, 1, 2, 0)","(3, 4, 4, 1, 2, 0)",0.33483955323072734,9.057202670437352,41.954118048147436,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(3, 5, 2, 1, 2, 0)","(3, 5, 2, 1, 2, 0)",0.3059009469007693,7.207341625678845,41.954118048147436,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(3, 4, 2, 1, 1, 0)","(3, 4, 3, 1, 1, 0)",0.29113462441055393,10.820357597829066,8.112844898370746,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(4, 3, 2, 1, 0, 0)","(3, 3, 4, 1, 0, 0)",0.27287564262598807,10.455463333595201,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(2, 5, 2, 1, 2, 1)","(3, 5, 4, 2, 2, 1)",0.30885350750182716,8.303556012978799,41.954118048147436,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(2, 3, 2, 1, 2, 1)","(3, 3, 2, 1, 2, 1)",0.3157699525530232,9.352175107890606,41.954118048147436,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(4, 5, 2, 1, 0, 0)","(3, 5, 4, 2, 0, 0)",0.3054789660684726,10.435507575904339,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(4, 2, 2, 1, 0, 0)","(3, 2, 3, 1, 0, 0)",0.30404263227645323,10.684574079950547,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(2, 4, 2, 1, 0, 0)","(3, 4, 3, 3, 0, 0)",0.3051800156897021,9.931694987223718,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
Columbus,1,"(4, 4, 2, 1, 2, 0)","(3, 4, 3, 2, 2, 0)",0.29654359181038864,8.22637752729612,41.954118048147436,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(4, 5, 2, 1, 0, 0)","(3, 5, 2, 3, 0, 0)",0.3284958696378465,8.996730312314892,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(2, 5, 2, 1, 1, 1)","(3, 5, 4, 3, 1, 1)",0.29821882357483326,9.112152834356177,8.06979663343237,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(5, 1, 2, 1, 0, 0)","(3, 1, 3, 1, 0, 0)",0.2930467087219476,10.822477895632208,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(2, 2, 2, 1, 1, 1)","(3, 2, 2, 2, 1, 1)",0.30265870943274253,11.50031271875073,8.0653592441708,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(6, 3, 2, 1, 0, 0)","(3, 3, 2, 1, 0, 0)",0.25714894782076836,10.2906874920489,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(5, 4, 2, 1, 2, 1)","(3, 4, 3, 2, 2, 1)",0.3180586972026972,6.467734700627341,41.954118048147436,0.30314845857339046,9.44219827855272,41.954118048147436,0
Columbus,1,"(2, 3, 2, 1, 0, 0)","(3, 3, 4, 2, 0, 0)",0.3053484741738689,10.169831342929232,3.2896223961552407,0.30314845857339046,9.44219827855272,41.954118048147436,1
