Season,Date,home_abbr,away_abbr,home_pts,away_pts,home_win,opponent_abbr,ELO_t,opp_pre_elo_t,O_mean,O_var,O_p90,SOS_t,elo_avg_pre,O_t_list_json,O_len,O_mean_calc,O_var_calc,O_p90_calc
2001,2001-05-31,IND,HOU,78.0,82.0,0.0,HOU,1500.0,1488.5707376518324,,,,,1500.0,[],0,,,
2003,2003-05-29,CHA,IND,66.0,57.0,1.0,CHA,1500.0,1488.5707376518324,1511.4292623481676,0.0,1511.4292623481676,1.007619508232112,1499.9999999999998,[1511.429],1,1511.429,0.0,1511.429
2003,2003-05-31,IND,WAS,71.0,60.0,1.0,WAS,1491.1056167599518,1511.4292623481676,,,,,1499.9999999999998,[],0,,,
2004,2004-05-21,IND,NYL,69.0,67.0,1.0,NYL,1500.0,1500.0,1494.125060054977,34.62009140346729,1498.832167287473,0.9960833733699846,1500.0,"[1488.241,1500.009]",2,1494.125,34.62145600000017,1498.8322
2004,2004-05-23,IND,WAS,67.0,68.0,0.0,WAS,1508.5707376518324,1488.2411760143566,1500.0089440955974,0.0,1500.0089440955974,1.0000059627303983,1499.9999999999998,[1500.009],1,1500.009,0.0,1500.009
2004,2004-05-28,CHA,IND,63.0,41.0,1.0,CHA,1496.5736927498972,1500.0089440955974,,,,,1500.0,[],0,,,
2005,2005-05-22,IND,CHA,68.0,58.0,1.0,CHA,1500.0,1488.5707376518324,1495.8688371652363,103.0248234073712,1505.940705258381,0.9972458914434912,1499.9999999999998,"[1488.571,1488.813,1510.223]",3,1495.869,103.0284186666662,1505.941
2005,2005-05-24,IND,PHO,83.0,76.0,1.0,PHO,1508.250120109954,1488.5707376518324,1499.5178869219385,114.59054273039418,1508.081644703862,0.9996785912812924,1500.0,"[1488.813,1510.223]",2,1499.518,114.59702499999844,1508.0819999999999
2005,2005-05-26,NYL,IND,59.0,67.0,0.0,NYL,1516.27104922932,1488.8131896945345,1510.2225841493428,0.0,1510.2225841493428,1.006815056099562,1499.9999999999998,[1510.223],1,1510.223,0.0,1510.223
2005,2005-05-29,HOU,IND,86.0,78.0,1.0,HOU,1526.918955298223,1510.2225841493428,,,,,1499.9999999999998,[],0,,,
2006,2006-05-20,IND,DET,67.0,60.0,1.0,DET,1500.0,1500.0,1501.7453562001067,140.2924470669022,1512.2021494668058,1.0011635708000712,1500.0,"[1511.429,1499.92,1483.099,1512.533]",4,1501.74525,140.29118518750045,1512.2018
2006,2006-05-23,SAS,IND,53.0,62.0,0.0,SAS,1508.5707376518324,1511.4292623481676,1498.5173874840864,145.37746796277915,1510.0106098879924,0.9990115916560576,1500.0,"[1499.92,1483.099,1512.533]",3,1498.5173333333332,145.3771295555554,1510.0104
2006,2006-05-26,CHI,IND,60.0,75.0,0.0,CHI,1520.080497773498,1499.919502226502,1497.8163301128784,216.5917576309939,1509.5899754652676,0.9985442200752522,1500.0,"[1483.099,1512.533]",2,1497.8159999999998,216.59008899999955,1509.5896
2006,2006-05-30,IND,NYL,91.0,70.0,1.0,NYL,1530.937227984194,1483.099273422392,1512.533386803365,0.0,1512.533386803365,1.0083555912022433,1500.0,[1512.533],1,1512.533,0.0,1512.533
2006,2006-05-31,HOU,IND,73.0,60.0,1.0,HOU,1538.1933727960472,1512.533386803365,,,,,1499.9999999999998,[],0,,,
