Season,Date,home_abbr,away_abbr,home_pts,away_pts,home_win,opponent_abbr,ELO_t,opp_pre_elo_t,O_mean,O_var,O_p90,SOS_t,elo_avg_pre,O_t_list_json,O_len,O_mean_calc,O_var_calc,O_p90_calc
2015,2015-08-11,WAS,IND,62.0,73.0,0.0,WAS,1528.193411415223,1535.9783399802077,1524.4862374870029,2249.9784407283223,1581.1472422449117,1.0163241583246685,1500.0,"[1554.089,1456.323,1420.621,1581.666,1471.129,1472.365,1491.278,1456.723,1554.681,1495.638,1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",22,1524.4862272727273,2249.981743448345,1581.1469
2015,2015-08-16,PHO,IND,63.0,75.0,0.0,PHO,1539.8414276007122,1554.088584591142,1523.0766019106154,2313.4046771584085,1581.6663430743895,1.0153844012737434,1500.0000000000002,"[1456.323,1420.621,1581.666,1471.129,1472.365,1491.278,1456.723,1554.681,1495.638,1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",21,1523.0765714285712,2313.40688005442,1581.666
2015,2015-08-18,LAS,IND,68.0,79.0,0.0,LAS,1551.6698163572717,1456.322719067275,1526.4142960527822,2195.1306650965544,1581.8510694602614,1.017609530701855,1500.0,"[1420.621,1581.666,1471.129,1472.365,1491.278,1456.723,1554.681,1495.638,1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",20,1526.4142499999998,2195.135160887499,1581.8508
2015,2015-08-21,SEA,IND,63.0,75.0,0.0,SEA,1560.371983292066,1420.6211719362084,1531.9823552168127,1690.5982009135562,1582.0357958461332,1.0213215701445415,1500.0,"[1581.666,1471.129,1472.365,1491.278,1456.723,1554.681,1495.638,1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",19,1531.9823157894737,1690.6014576897503,1582.0356
2015,2015-08-23,IND,NYL,80.0,79.0,1.0,NYL,1567.844714570195,1581.6663430743895,1529.2221336691696,1639.7626863371324,1578.5868164256583,1.019481422446113,1500.0,"[1471.129,1472.365,1491.278,1456.723,1554.681,1495.638,1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",18,1529.2221111111112,1639.7678934320986,1578.5866999999998
2015,2015-08-26,IND,LAS,79.0,81.0,0.0,LAS,1576.8071646769529,1471.1294792484955,1532.6393486350914,1526.0268687254177,1579.2906436410085,1.0217595657567276,1500.0,"[1472.365,1491.278,1456.723,1554.681,1495.638,1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",17,1532.6393529411764,1526.0290772871965,1579.2905999999998
2015,2015-08-28,IND,ATL,84.0,90.0,0.0,ATL,1562.6039994863206,1472.3653321448453,1536.4064746657318,1380.1524929983734,1579.994470856358,1.024270983110488,1500.0,"[1491.278,1456.723,1554.681,1495.638,1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",16,1536.4065,1380.152146249999,1579.9944999999998
2015,2015-08-30,TUL,IND,76.0,70.0,1.0,TUL,1548.7734134714408,1491.2778372338978,1539.4150504945208,1327.3382029170966,1580.6982980717078,1.0262767003296804,1500.0,"[1456.723,1554.681,1495.638,1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",15,1539.4150666666667,1327.338715128888,1580.6984
2015,2015-09-01,IND,CON,81.0,51.0,1.0,CON,1538.5577069100334,1456.7230789419332,1545.321619891134,898.8346439988819,1581.4021252870575,1.030214413260756,1500.0,"[1554.681,1495.638,1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",14,1545.321642857143,898.833988943876,1581.4023
2015,2015-09-04,MIN,IND,81.0,65.0,1.0,MIN,1544.9354047477557,1554.6814939991905,1544.60162957513,960.7183656883744,1582.1059525024073,1.0297344197167533,1500.0,"[1495.638,1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",13,1544.6016923076922,960.7184619053237,1582.1062
2015,2015-09-08,WAS,IND,76.0,72.0,1.0,WAS,1536.6382829876452,1495.6375938200804,1548.6819658880506,824.3393519507185,1582.809779717757,1.032454643925367,1500.0,"[1489.584,1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",12,1548.6819999999998,824.3424924999973,1582.8101
2015,2015-09-11,ATL,IND,67.0,75.0,0.0,ATL,1526.8972460629689,1489.5838474790503,1554.0545221070506,552.9069691213564,1583.5136069331068,1.036036348071367,1500.0,"[1583.514,1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",11,1554.0545454545454,552.9117831570226,1583.514
2015,2015-09-13,IND,NYL,81.0,76.0,1.0,NYL,1537.262233600754,1583.5136069331068,1551.1086136244448,512.7355213667277,1577.2539559277348,1.0340724090829632,1500.0000000000002,"[1555.903,1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",10,1551.1086,512.7384206399983,1577.2537
2015,2015-09-19,IND,CHI,83.0,86.0,0.0,CHI,1547.154343638713,1555.9027359256972,1550.5759333687504,566.8686523038501,1578.0325770758604,1.0337172889125004,1500.0,"[1567.085,1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",9,1550.575888888889,566.8715449876524,1578.0323999999998
2015,2015-09-21,CHI,IND,68.0,86.0,0.0,CHI,1535.9725749282436,1567.084504636167,1548.5123619603232,599.4022912227335,1578.811198223986,1.0323415746402156,1500.0,"[1576.475,1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",8,1548.51225,599.4030389374977,1578.8111
2015,2015-09-23,NYL,IND,79.0,74.0,1.0,NYL,1548.2656545713469,1576.4753347796093,1544.517651557568,557.369500353798,1578.3689140724107,1.029678434371712,1500.0,"[1584.262,1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",7,1544.5175714285717,557.3723893877535,1578.3688
2015,2015-09-27,IND,NYL,67.0,60.0,1.0,NYL,1540.479443090091,1584.261546260865,1537.8936691070187,343.12441254311904,1560.0419285869311,1.0252624460713458,1500.0,"[1574.44,1545.643,1534.69,1524.363,1517.41,1530.815]",6,1537.8935000000001,343.1195315833331,1560.0415
