Year,Team,Valuation_M,Revenue_M
2024,Las Vegas Aces,140.0,
2024,Indiana Fever,90.0,33.8
2024,League Average,96.0,20.25
2025,Golden State Valkyries,500.0,
2025,New York Liberty,420.0,
2025,Indiana Fever,335.0,
2025,Atlanta Dream,165.0,
