scenario,step,phase,win_pct,ELO,Skill_Mean,Syn,CF,OwnerTerminal,leverage,cash,cap_space,extra_payroll
model_replan,0,regular,0.5373818274280515,1488.3087976768782,1.29414626233131,-0.5503030532577187,20.32131617005492,279.9284368282596,0.19312340208412232,25.32131617005492,0.0,0.0
model_replan,1,trade_deadline,0.5475052411599143,1489.2537108081863,1.2604335090072147,-0.5933923807360915,14.373970064448121,286.91064436554075,0.18931332263292502,39.695286234503044,0.0,0.17923932725031722
model_replan,2,playoff,0.58130474533234,1491.856800076766,1.260433509007215,-0.5869010144142095,18.935121446135113,305.3832623617441,0.17992215755098634,58.63040768063816,0.0,0.0
model_replan,3,offseason,0.58130474533234,1491.856800076766,1.2919443467323952,-0.5779250537500795,18.26332205552191,340.9809960544476,0.1319776678906258,61.99839924169031,0.0,0.0
model_replan,4,regular,0.5996712854906641,1493.5641404716473,1.260433509007215,-0.6140029554272219,19.747673868904343,365.7096109152504,0.12416160860673894,81.74607311059465,0.0,0.0
model_replan,5,trade_deadline,0.61972226891082,1496.240314257985,1.2315368633008474,-0.5899673293204659,13.671973179665823,468.41044000630916,0.0996514928205336,95.41804629026048,0.0,0.23627002228450902
model_replan,6,playoff,0.6091010030860176,1497.2393894071192,1.260433509007215,-0.5828292772935858,13.983525016063517,495.1333951036542,0.09478295221851162,109.401571306324,0.0,0.0
model_replan,7,offseason,0.6091010030860176,1497.2393894071192,1.260433509007215,-0.5779250537500795,19.547777412434392,542.3731927545457,0.05235548239950091,106.96030183386766,0.0,0.0
replace_only,0,regular,0.5413456618112487,1488.5485142782095,1.29414626233131,-0.700980460876844,19.84828184333626,281.1326195060152,0.19245539270370596,24.84828184333626,0.0,0.0
replace_only,1,trade_deadline,0.5334666744832286,1489.5919833015103,1.2604335090072147,-0.6260296095671609,19.501584458616804,294.3686221078139,0.18540624697628183,44.349866301953064,0.0,0.17923932725031722
replace_only,2,playoff,0.5737375431182407,1491.830800043251,1.2604335090072147,-0.5247324771133616,19.929502008928555,310.2907517905099,0.17758187732415356,64.27936831088162,0.0,0.17923932725031722
replace_only,3,offseason,0.5737375431182407,1491.830800043251,1.2604335090072147,-0.5779250537500795,18.22965324430591,332.57378183819424,0.16767866923543892,82.50902155518753,0.0,0.17923932725031722
replace_only,4,regular,0.6022778296133847,1494.0653669038686,1.2604335090072147,-0.5864454328082898,18.493717722667427,357.8834542429509,0.15769030149545196,101.00273927785496,0.0,0.17923932725031722
replace_only,5,trade_deadline,0.5586605802330681,1493.8763132984704,1.2604335090072147,-0.523660703527784,18.116576771598965,466.99313738880096,0.12546977724774996,119.11931604945391,0.0,0.17923932725031722
replace_only,6,playoff,0.5562357674947156,1494.3691718799753,1.29414626233131,-0.6889015932880355,13.549991525220328,486.44937232338293,0.12105895019581231,132.66930757467424,0.0,0.0
replace_only,7,offseason,0.5562357674947156,1494.3691718799753,1.29414626233131,-0.5973312890772793,13.354682758542513,498.31276169689806,0.11851846365344071,146.02399033321674,0.0,0.0
