off_action,reg_action,win_mean,cf_mean,debt_mean,base_win,base_cf,base_debt,improved_all,score,site
"(5, 3, 2, 1, 0, 0)","(3, 3, 2, 2, 0, 0)",0.30944563191351937,11.069743172251574,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,0,4.0827136173341305,Columbus
"(3, 3, 2, 1, 1, 1)","(3, 3, 4, 1, 1, 1)",0.31790317449155003,11.17230969864299,10.154874618687401,0.3178072325644628,9.93507849511844,41.95411804814745,1,4.42674973917928,Columbus
"(6, 2, 2, 1, 0, 1)","(3, 2, 4, 1, 0, 1)",0.31743539575031965,11.623852365540696,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,0,5.43579919430328,Columbus
"(4, 3, 2, 1, 1, 1)","(3, 3, 3, 2, 1, 1)",0.29948475546255093,10.643932582576493,10.152560582347487,0.3178072325644628,9.93507849511844,41.95411804814745,0,2.0567621238468634,Columbus
"(4, 2, 2, 1, 0, 1)","(3, 2, 2, 1, 0, 1)",0.311675198235538,11.582140210184214,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,0,4.818067287468636,Columbus
"(6, 3, 2, 1, 1, 1)","(3, 3, 2, 2, 1, 1)",0.27574901397324264,10.472495643573032,10.165957759251443,0.3178072325644628,9.93507849511844,41.95411804814745,0,-0.489588681777823,Columbus
"(3, 3, 2, 1, 0, 0)","(3, 3, 3, 2, 0, 0)",0.31790317449155003,11.26701525600141,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,1,5.125739958887032,Columbus
"(3, 1, 2, 1, 0, 1)","(3, 1, 3, 1, 0, 1)",0.313813036752139,11.865286245284278,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,0,5.3149971742287985,Columbus
"(3, 3, 2, 1, 0, 0)","(3, 3, 4, 2, 0, 0)",0.31790317449155003,11.26701525600141,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,1,5.125739958887032,Columbus
"(6, 2, 2, 1, 0, 1)","(3, 2, 3, 2, 0, 1)",0.31743539575031965,11.365216112286706,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,0,5.177162941049291,Columbus
"(3, 2, 2, 1, 1, 1)","(3, 2, 2, 1, 1, 1)",0.3178072325644628,11.379462008581246,10.154927121993033,0.3178072325644628,9.93507849511844,41.95411804814745,0,4.624302606078249,Columbus
"(5, 2, 2, 1, 1, 0)","(3, 2, 4, 2, 1, 0)",0.3182084535912618,11.001734610243563,10.145753177791299,0.3178072325644628,9.93507849511844,41.95411804814745,1,4.287614704840641,Columbus
"(3, 3, 2, 1, 0, 0)","(3, 3, 4, 1, 0, 0)",0.31790317449155003,11.525699529577828,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,1,5.384424232463451,Columbus
"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3182084535912618,11.6225259728159,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,1,5.511778585672702,Columbus
"(3, 1, 2, 1, 0, 1)","(3, 1, 2, 2, 0, 1)",0.313813036752139,11.606867985582195,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,0,5.056578914526716,Columbus
"(4, 3, 2, 1, 1, 0)","(3, 3, 4, 2, 1, 0)",0.29948475546255093,10.634292469108958,10.152560582347487,0.3178072325644628,9.93507849511844,41.95411804814745,0,2.0471220103793284,Columbus
"(5, 2, 2, 1, 0, 0)","(3, 2, 3, 1, 0, 0)",0.3182084535912618,11.6225259728159,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,1,5.511778585672702,Columbus
"(4, 2, 2, 1, 1, 1)","(3, 2, 3, 1, 1, 1)",0.311675198235538,11.219302522163584,10.159322795537918,0.3178072325644628,9.93507849511844,41.95411804814745,0,3.8505001194136197,Columbus
"(3, 1, 2, 1, 1, 0)","(3, 1, 3, 2, 1, 0)",0.313813036752139,11.237303496587941,10.143922721837662,0.3178072325644628,9.93507849511844,41.95411804814745,0,4.083824952868101,Columbus
"(5, 3, 2, 1, 0, 1)","(3, 3, 2, 2, 0, 1)",0.30944563191351937,11.079383285719107,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,0,4.092353730801664,Columbus
"(6, 1, 2, 1, 1, 0)","(3, 1, 3, 2, 1, 0)",0.3003191924550187,11.063208184736048,10.152518402928461,0.3178072325644628,9.93507849511844,41.95411804814745,0,2.5594856431950976,Columbus
"(6, 2, 2, 1, 1, 1)","(3, 2, 4, 2, 1, 1)",0.31743539575031965,11.003303227582036,10.143909406938555,0.3178072325644628,9.93507849511844,41.95411804814745,0,4.21206191517017,Columbus
"(5, 2, 2, 1, 1, 0)","(3, 2, 4, 1, 1, 0)",0.3182084535912618,11.259711220044627,10.158940541381934,0.3178072325644628,9.93507849511844,41.95411804814745,1,4.544272578282641,Columbus
"(5, 1, 2, 1, 0, 0)","(3, 1, 4, 1, 0, 0)",0.3016598457615817,11.693812122638233,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,0,3.9282039525270256,Columbus
"(5, 3, 2, 1, 1, 0)","(3, 3, 3, 2, 1, 0)",0.30944563191351937,10.707502538764814,10.149371886640063,0.3178072325644628,9.93507849511844,41.95411804814745,0,3.1167385947027704,Columbus
"(3, 3, 2, 1, 0, 0)","(3, 3, 2, 1, 0, 0)",0.31790317449155003,11.525699529577828,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,1,5.384424232463451,Columbus
