off_action,reg_action,win_mean,cf_mean,debt_mean,base_win,base_cf,base_debt,improved_all,score,site,a_roster,a_salary,a_ticket,a_marketing,a_debt,a_equity
"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3182084535912618,11.6225259728159,4.112027995194051,0.3178072325644628,9.93507849511844,41.95411804814745,1,5.511778585672702,Columbus,5,2,2,1,0,0
"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.31773397810340503,11.649142308879131,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.491924554931987,StLouis,5,2,2,1,0,0
"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.31750028576941125,11.656259569056136,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,1,5.4821035833824014,Nashville,5,2,2,1,0,0
"(3, 3, 2, 1, 0, 1)","(3, 3, 2, 1, 0, 1)",0.31420760937542636,11.596170093126348,4.112027995194051,0.31411559611153084,9.996362589949937,41.95411804814745,1,5.393217834861303,Denver,3,3,2,1,0,1
"(3, 3, 2, 1, 0, 1)","(3, 3, 2, 1, 0, 1)",0.3104209799186148,11.280759397004775,4.112027995194051,0.3103333506200358,9.680988229017242,41.95411804814745,1,5.392743103140771,Portland,3,3,2,1,0,1
"(3, 3, 2, 1, 0, 1)","(3, 3, 2, 1, 0, 1)",0.3165869524514627,11.79810961398087,4.112027995194051,0.3164923700424988,10.19827743213569,41.95411804814745,1,5.3934994280369075,Toronto,3,3,2,1,0,1
