site,team,win_delta,cf_delta,owner_delta
Columbus,ATL,-0.004626217747724981,-0.08743020561342352,3.809665225073303
Columbus,CHI,-0.0027868254934799164,-0.07012772075950835,8.485309438888407
Columbus,CON,-0.0018536390535423553,-0.04641987362044375,6.718088101795274
Columbus,DAL,-0.004455844084718608,-0.20497064491285144,4.893279528372233
Columbus,GSV,-0.015871546306692907,-0.6584448480183376,6.097087448977902
Columbus,IND,-0.001349213211978395,-0.2770982393013526,4.747661691226
Columbus,LAS,-0.014567163162439334,-0.6351521220064491,6.434507819454041
Columbus,LVA,-0.004796306348774343,-0.43437720901702903,9.625194792861748
Columbus,MIN,-0.003911528422443078,-0.07649419394808632,8.291923953268451
Columbus,NYL,-0.005108171063516631,-0.05042237698717145,9.321083984369125
Columbus,PHO,-0.011495180398313154,-0.6475542025005012,9.278037808189083
Columbus,SEA,-0.013595149124057682,-0.7663800975099235,8.47619507402311
Columbus,WAS,-0.0021869027857390755,-0.0539189578462107,4.874413903540301
StLouis,ATL,-0.004893733537510048,-0.09263761815051996,3.7937257839987524
StLouis,CHI,-0.0026244049308994377,-0.07168169130659408,8.506160110389544
StLouis,CON,-0.00288812812131356,-0.16733451898448948,6.620013574045686
StLouis,DAL,-0.002749234314854243,-0.07988365228957939,5.013810767581106
StLouis,GSV,-0.014819050150955582,-0.5918607962897582,6.217216164673573
StLouis,IND,-0.0018180553330355287,-0.25208713810532757,4.715636882423581
StLouis,LAS,-0.012664020578184054,-0.5081483153955446,6.656103911266655
StLouis,LVA,-0.0038738522261940744,-0.27590832052976566,9.76275737043477
StLouis,MIN,-0.0029220717758484116,0.004594166786603182,8.415981988855037
StLouis,NYL,-0.009028788926962461,-0.25905092776399385,8.751291491584539
StLouis,PHO,-0.009003867286816625,-0.4274772324080587,9.66271970144578
StLouis,SEA,-0.012575722036002657,-0.6749392321363388,8.628236534184055
StLouis,WAS,-0.004524781607102402,-0.14127514896497928,4.706554629116681
Nashville,ATL,-0.002363402726472008,-0.19059049227554503,3.944538175549525
Nashville,CHI,-0.004076809154044236,-0.0001278904911359291,8.319756435123793
Nashville,CON,-0.002693474272567442,-0.1391753415139263,6.638453179457201
Nashville,DAL,-0.0031707835328180223,-0.10628117815271487,4.984006832711827
Nashville,GSV,-0.016182377618443322,-0.6660759400911154,6.061619847278678
Nashville,IND,-0.00204895487347051,-0.2455209972525232,4.699870356755611
Nashville,LAS,-0.014325538787317682,-0.6066286221370625,6.462792096893509
Nashville,LVA,-0.004469069877805293,-0.3662292480619058,9.673985768200964
Nashville,MIN,-0.00441300288060259,-0.10271361457461836,8.229080043829867
Nashville,NYL,-0.00817280952629662,-0.20595178120496627,8.875579645812707
Nashville,PHO,-0.010375528738742146,-0.536815931464723,9.450795980228918
Nashville,SEA,-0.013856836024363273,-0.774123841165931,8.437186314200801
Nashville,WAS,-0.0037863357345321313,-0.09798365184920499,4.759550529235838
Denver,ATL,-0.01207582026116416,-0.3288827309185809,3.3662146922726492
Denver,CHI,-0.008797372000621584,-0.2491479583927756,7.714646397836077
Denver,CON,-0.004627948641007046,-0.39765963006759364,6.4554980691234505
Denver,DAL,-0.0032859604273322573,-0.11160275603570646,4.975867313331804
Denver,GSV,-0.008547987883699149,-0.24216075760011435,6.9340571546414935
Denver,IND,-0.007369937023591233,-0.2431474472843309,4.337509746546289
Denver,LAS,-0.007033681045055196,-0.17896764979567337,7.312252893257721
Denver,LVA,-0.0018530292820628236,0.03283901828056912,10.064385400848892
Denver,MIN,-0.004282292054609782,-0.08799703665469849,8.24545849619733
Denver,NYL,-0.015765229995332197,-0.6444745036552817,7.77415218756903
Denver,PHO,-0.0044122434384208375,-0.04770361905817566,10.374391827714362
Denver,SEA,-0.007895980153378113,-0.29850405537279556,9.327811693562808
Denver,WAS,-0.00880070084097051,-0.3899854460799137,4.400121884616084
Portland,ATL,-0.019007825072713702,-0.5880531528235959,2.954301498645492
Portland,CHI,-0.01694469753122635,-0.7208489087824219,6.672788410303326
Portland,CON,-0.005241440712180745,-0.49462376139997843,6.397614537069842
Portland,DAL,-0.007801351588097971,-0.46456447219419594,4.657985783741196
Portland,GSV,-0.005357142565551032,-0.08247786273812707,7.299533627698622
Portland,IND,-0.013566451904138077,-0.5749144135796804,3.9178566504899095
Portland,LAS,-0.007533361693920992,-0.2106831356230714,7.253916442646528
Portland,LVA,-0.0024457939576994214,-0.05618495910030674,9.975870687723273
Portland,MIN,-0.008701818786154725,-0.44825937169446206,7.692456360015626
Portland,NYL,-0.018096038527419755,-0.8220777009412146,7.433300519264151
Portland,PHO,-0.007836654700924373,-0.32566712994776736,9.843300049634081
Portland,SEA,-0.0013031075964090588,-0.9415987941622532,10.317926661766478
Portland,WAS,-0.011303990444079592,-0.5608072998399294,4.221063885092207
Toronto,ATL,-0.0077379787308383685,-0.15526074361353892,3.6243277192340315
Toronto,CHI,-0.004408396812752735,0.042435143485896276,8.27721510255634
Toronto,CON,-0.0013552623658723562,0.06602788406353,6.765404501508897
Toronto,DAL,-0.005755921852032608,-0.2627359783163197,4.80168799474734
Toronto,GSV,-0.01602726137670396,-0.6051274245029603,6.079318930237719
Toronto,IND,-0.0034905006438338826,-0.03212364765135334,4.601516748076875
Toronto,LAS,-0.014677333027911132,-0.5794243142008284,6.421613648305993
Toronto,LVA,-0.0050725856448572415,-0.4001141171267122,9.584008977723897
Toronto,MIN,-0.004333857308830069,-0.037347417597416666,8.238997049151521
Toronto,NYL,-0.003739312668890049,0.060121361504073434,9.520338591769587
Toronto,PHO,-0.012760952950041926,-0.6716274901163501,9.08298200385218
Toronto,SEA,-0.013726266004402576,-0.6941641252527262,8.456648900136315
Toronto,WAS,-0.0023646888320591475,-0.004878078624614091,4.86164094681962
