site,param,value,off_action,reg_action,win_mean,cf_mean,debt_mean,owner_mean,base_win,base_cf,base_debt,base_owner,win_delta,cf_delta,debt_delta,owner_delta,improved_all
Columbus,win_eta_fatigue,0.3,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3454252063147587,12.62789264742766,4.112027995194051,256.8426495071826,0.3421752081780649,11.071330786399797,41.95411804814745,219.18201357696876,0.003249998136693799,1.5565618610278626,37.842090052953395,37.66063593021386,1
Columbus,win_eta_fatigue,0.6,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.622183885684386,4.112027995194051,256.78809619353376,0.341506584548919,11.066241516951443,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5559423687329428,37.842090052953395,37.65513078988809,1
Columbus,win_eta_fatigue,0.9,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3439345806520798,12.616546665934518,4.112027995194051,256.7342890004559,0.34084752117298767,11.06122501595231,41.95411804814745,219.0846608446464,0.003087059479092158,1.5553216499822078,37.842090052953395,37.64962815580947,1
Columbus,travel_cost_beta,0.6,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.645715523357266,4.112027995194051,256.78809619353376,0.341506584548919,11.089773154624321,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5559423687329446,37.842090052953395,37.65513078988809,1
Columbus,travel_cost_beta,1.2,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.622183885684386,4.112027995194051,256.78809619353376,0.341506584548919,11.066241516951443,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5559423687329428,37.842090052953395,37.65513078988809,1
Columbus,travel_cost_beta,1.8,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.598652248011508,4.112027995194051,256.78809619353376,0.341506584548919,11.042709879278565,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5559423687329428,37.842090052953395,37.65513078988809,1
Columbus,compete_revenue_beta,0.02,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.710817634272601,4.112027995194051,256.78809619353376,0.341506584548919,11.154095117291556,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5567225169810452,37.842090052953395,37.65513078988809,1
Columbus,compete_revenue_beta,0.04,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.622183885684386,4.112027995194051,256.78809619353376,0.341506584548919,11.066241516951443,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5559423687329428,37.842090052953395,37.65513078988809,1
Columbus,compete_revenue_beta,0.06,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.533550137096174,4.112027995194051,256.78809619353376,0.341506584548919,10.97838791661133,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5551622204848439,37.842090052953395,37.65513078988809,1
Columbus,expansion_bidding_delta,1.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.653756178067049,4.112027995194051,256.78809619353376,0.341506584548919,11.089770059334104,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5639861187329451,37.842090052953395,37.65513078988809,1
Columbus,expansion_bidding_delta,2.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.622183885684386,4.112027995194051,256.78809619353376,0.341506584548919,11.066241516951443,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5559423687329428,37.842090052953395,37.65513078988809,1
Columbus,expansion_bidding_delta,3.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.586754113136642,4.112027995194051,256.78809619353376,0.341506584548919,11.033246993726372,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5535071194102699,37.842090052953395,37.65513078988809,1
Columbus,expansion_star_fa_delta,-1.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.622183885684386,4.112027995194051,256.78809619353376,0.341506584548919,11.066241516951443,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5559423687329428,37.842090052953395,37.65513078988809,1
Columbus,expansion_star_fa_delta,-2.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.622183885684386,4.112027995194051,256.78809619353376,0.341506584548919,11.066241516951443,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5559423687329428,37.842090052953395,37.65513078988809,1
Columbus,expansion_star_fa_delta,-3.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.622183885684386,4.112027995194051,256.78809619353376,0.341506584548919,11.066241516951443,41.95411804814745,219.13296540364567,0.0031686093706255747,1.5559423687329428,37.842090052953395,37.65513078988809,1
Columbus,expansion_media_bonus,0.0,"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.3446751939195446,12.525779437227074,4.112027995194051,251.5745054828514,0.341506584548919,10.96742394349413,41.95411804814745,213.9191688029016,0.0031686093706255747,1.558355493732945,37.842090052953395,37.65533667994981,1
