param,value,owner_delta_mean,owner_delta_std,win_delta_mean,cf_delta_mean,debt_delta_mean,improved_rate
compete_revenue_beta,0.02,34.66158574440195,3.2757194829317617,0.001622268558411429,1.5042568446737183,37.842090052953395,1.0
compete_revenue_beta,0.04,34.66158574440195,3.2757194829317617,0.001622268558411429,1.503867000211424,37.842090052953395,1.0
compete_revenue_beta,0.06,34.66158574440195,3.2757194829317617,0.001622268558411429,1.50347715574913,37.842090052953395,1.0
expansion_bidding_delta,1.0,34.66158574440195,3.2757194829317617,0.001622268558411429,1.515311060853955,37.842090052953395,1.0
expansion_bidding_delta,2.0,34.66158574440195,3.2757194829317617,0.001622268558411429,1.503867000211424,37.842090052953395,1.0
expansion_bidding_delta,3.0,34.66158574440195,3.2757194829317617,0.001622268558411429,1.4989641371626234,37.842090052953395,1.0
expansion_media_bonus,0.0,34.75178690656895,3.1772621869789854,0.001622268558411429,1.507415812711425,37.842090052953395,1.0
expansion_media_bonus,0.03,34.66158574440195,3.2757194829317617,0.001622268558411429,1.503867000211424,37.842090052953395,1.0
expansion_media_bonus,0.06,34.56859604569086,3.3771971321141314,0.001622268558411429,1.5015954383887504,37.842090052953395,1.0
expansion_star_fa_delta,-3.0,34.66158574440195,3.2757194829317617,0.001622268558411429,1.503867000211424,37.842090052953395,1.0
expansion_star_fa_delta,-2.0,34.66158574440195,3.2757194829317617,0.001622268558411429,1.503867000211424,37.842090052953395,1.0
expansion_star_fa_delta,-1.0,34.66158574440195,3.2757194829317617,0.001622268558411429,1.503867000211424,37.842090052953395,1.0
travel_cost_beta,0.6,34.66158574440195,3.2757194829317617,0.001622268558411429,1.5038670002114243,37.842090052953395,1.0
travel_cost_beta,1.2,34.66158574440195,3.2757194829317617,0.001622268558411429,1.503867000211424,37.842090052953395,1.0
travel_cost_beta,1.8,34.66158574440195,3.2757194829317617,0.001622268558411429,1.5038670002114232,37.842090052953395,1.0
win_eta_fatigue,0.3,34.66022170188101,3.2850137950015483,0.001677290548681265,1.504291423165425,37.842090052953395,1.0
win_eta_fatigue,0.6,34.66158574440195,3.2757194829317617,0.001622268558411429,1.503867000211424,37.842090052953395,1.0
win_eta_fatigue,0.9,34.6620073207501,3.267465673922718,0.0015657159374726781,1.5034300453623548,37.842090052953395,1.0
