site,param,value,team,owner_delta,win_delta,cf_delta
Toronto,expansion_star_fa_delta,-2.0,PHO,20.116310361148862,-0.01614073888980011,-0.5361706390373087
Toronto,expansion_star_fa_delta,-2.0,SEA,19.810776698458994,-0.013775591086727768,-0.45193897019159834
Toronto,expansion_star_fa_delta,-2.0,WAS,10.33984511105217,-0.002451000572781803,0.0886833851599178
Toronto,expansion_star_fa_delta,-3.0,ATL,7.616316383054539,-0.007424697599185959,-0.07847834970608503
Toronto,expansion_star_fa_delta,-3.0,CHI,17.980259498048667,-0.003827829780440939,0.19696753360608454
Toronto,expansion_star_fa_delta,-3.0,CON,14.076602495240024,-0.001702229469442984,0.17825727161086746
Toronto,expansion_star_fa_delta,-3.0,DAL,10.281621497773699,-0.005839931656354047,-0.15908016861275698
Toronto,expansion_star_fa_delta,-3.0,GSV,14.340677757689377,-0.012405192247172458,-0.38421386690401604
Toronto,expansion_star_fa_delta,-3.0,IND,9.645311601997633,-0.0031972311954662214,0.056316373463847214
Toronto,expansion_star_fa_delta,-3.0,LAS,14.89518863521289,-0.015102705966828944,-0.42259537605596975
Toronto,expansion_star_fa_delta,-3.0,LVA,20.688438224156812,-0.004613195983786816,-0.188130399015769
Toronto,expansion_star_fa_delta,-3.0,MIN,17.819221292752616,-0.004137194321628845,0.12174595621148399
Toronto,expansion_star_fa_delta,-3.0,NYL,20.17337256584142,-0.00369832275497034,0.2143478167676136
Toronto,expansion_star_fa_delta,-3.0,PHO,20.116310361148862,-0.01614073888980011,-0.5361706390373087
Toronto,expansion_star_fa_delta,-3.0,SEA,19.810776698458994,-0.013775591086727768,-0.45193897019159834
Toronto,expansion_star_fa_delta,-3.0,WAS,10.33984511105217,-0.002451000572781803,0.0886833851599178
Toronto,expansion_media_bonus,0.0,ATL,-0.41421705902877193,-0.007424697599185959,-0.1678134998453551
Toronto,expansion_media_bonus,0.0,CHI,-0.4866541009091634,-0.003827829780440939,-0.021670360682875867
Toronto,expansion_media_bonus,0.0,CON,-0.1607802128428375,-0.001702229469442984,-0.008075456848718687
Toronto,expansion_media_bonus,0.0,DAL,-0.4163615744302547,-0.005839931656354047,-0.2935239383303525
Toronto,expansion_media_bonus,0.0,GSV,-1.3378779897282698,-0.012405192247172458,-0.578669129543286
Toronto,expansion_media_bonus,0.0,IND,-0.21757918850869373,-0.0031972311954662214,-0.059547070416007486
Toronto,expansion_media_bonus,0.0,LAS,-1.734522449229246,-0.015102705966828944,-0.6189627752641584
Toronto,expansion_media_bonus,0.0,LVA,-0.6425035422430483,-0.004613195983786816,-0.48151040542903445
Toronto,expansion_media_bonus,0.0,MIN,-0.5237195601278586,-0.004137194321628845,-0.11420983759524006
Toronto,expansion_media_bonus,0.0,NYL,-0.5321025084204507,-0.00369832275497034,-0.021607977039110438
Toronto,expansion_media_bonus,0.0,PHO,-2.507628384765269,-0.01614073888980011,-0.8180916988537774
Toronto,expansion_media_bonus,0.0,SEA,-2.0144676773360857,-0.013775591086727768,-0.7251848952963655
Toronto,expansion_media_bonus,0.0,WAS,-0.1760673486639064,-0.002451000572781803,-0.037667908147509976
Toronto,expansion_media_bonus,0.03,ATL,3.543659449315328,-0.007424697599185959,-0.12268528095608389
Toronto,expansion_media_bonus,0.03,CHI,8.615144511228266,-0.003827829780440939,0.08810923028124762
Toronto,expansion_media_bonus,0.03,CON,6.855300022768631,-0.001702229469442984,0.08555155120070879
Toronto,expansion_media_bonus,0.03,DAL,4.855605869997277,-0.005839931656354047,-0.22584140965192212
Toronto,expansion_media_bonus,0.03,GSV,6.388975724197451,-0.012405192247172458,-0.48098085440401306
Toronto,expansion_media_bonus,0.03,IND,4.643085967194395,-0.0031972311954662214,-0.0011547046564466257
Toronto,expansion_media_bonus,0.03,LAS,6.461363192014687,-0.015102705966828944,-0.5203184318404297
Toronto,expansion_media_bonus,0.03,LVA,9.869105309949873,-0.004613195983786816,-0.3343597584027691
Toronto,expansion_media_bonus,0.03,MIN,8.516088014314903,-0.004137194321628845,0.004228703127765243
Toronto,expansion_media_bonus,0.03,NYL,9.673525348896192,-0.00369832275497034,0.09683056368388776
Toronto,expansion_media_bonus,0.03,PHO,8.642467653742699,-0.01614073888980011,-0.6766705251259069
Toronto,expansion_media_bonus,0.03,SEA,8.741968318787997,-0.013775591086727768,-0.5881012889243493
Toronto,expansion_media_bonus,0.03,WAS,5.006546854446555,-0.002451000572781803,0.0259683823258392
Toronto,expansion_media_bonus,0.06,ATL,7.616316383054539,-0.007424697599185959,-0.07847834970608503
Toronto,expansion_media_bonus,0.06,CHI,17.980259498048667,-0.003827829780440939,0.19696753360608454
Toronto,expansion_media_bonus,0.06,CON,14.076602495240024,-0.001702229469442984,0.17825727161086746
Toronto,expansion_media_bonus,0.06,DAL,10.281621497773699,-0.005839931656354047,-0.15908016861275698
Toronto,expansion_media_bonus,0.06,GSV,14.340677757689377,-0.012405192247172458,-0.38421386690401604
Toronto,expansion_media_bonus,0.06,IND,9.645311601997633,-0.0031972311954662214,0.056316373463847214
Toronto,expansion_media_bonus,0.06,LAS,14.89518863521289,-0.015102705966828944,-0.42259537605596975
Toronto,expansion_media_bonus,0.06,LVA,20.688438224156812,-0.004613195983786816,-0.188130399015769
Toronto,expansion_media_bonus,0.06,MIN,17.819221292752616,-0.004137194321628845,0.12174595621148399
Toronto,expansion_media_bonus,0.06,NYL,20.17337256584142,-0.00369832275497034,0.2143478167676136
Toronto,expansion_media_bonus,0.06,PHO,20.116310361148862,-0.01614073888980011,-0.5361706390373087
Toronto,expansion_media_bonus,0.06,SEA,19.810776698458994,-0.013775591086727768,-0.45193897019159834
Toronto,expansion_media_bonus,0.06,WAS,10.33984511105217,-0.002451000572781803,0.0886833851599178
